canala 264	canalb 264
canala 232	canalb 232
canala 202	canalb 202
canala 178	canalb 178
canala 159	canalb 159
canala 144	canalb 144
canala 133	canalb 133
canala 123	canalb 123
canala 120	canalb 120
canala 126	canalb 126
canala 137	canalb 137
canala 150	canalb 150
canala 166	canalb 166
canala 189	canalb 189
canala 216	canalb 216
canala 245	canalb 245
canala 282	canalb 282
canala 320	canalb 320
canala 363	canalb 363
canala 410	canalb 410
canala 460	canalb 460
canala 513	canalb 513
canala 572	canalb 572
canala 635	canalb 635
canala 699	canalb 699
canala 765	canalb 765
canala 832	canalb 832
canala 904	canalb 904
canala 975	canalb 975
canala 1050	canalb 1050
canala 1124	canalb 1124
canala 1198	canalb 1198
canala 1276	canalb 1276
canala 1354	canalb 1354
canala 1435	canalb 1435
canala 1515	canalb 1515
canala 1596	canalb 1596
canala 1675	canalb 1675
canala 1750	canalb 1750
canala 1825	canalb 1825
canala 1897	canalb 1897
canala 1972	canalb 1972
canala 2043	canalb 2043
canala 2114	canalb 2114
canala 2181	canalb 2181
canala 2246	canalb 2246
canala 2311	canalb 2311
canala 2371	canalb 2371
canala 2428	canalb 2428
canala 2481	canalb 2481
canala 2531	canalb 2531
canala 2576	canalb 2576
canala 2618	canalb 2618
canala 2657	canalb 2657
canala 2691	canalb 2691
canala 2722	canalb 2722
canala 2747	canalb 2747
canala 2768	canalb 2768
canala 2782	canalb 2782
canala 2795	canalb 2795
canala 2804	canalb 2804
canala 2811	canalb 2811
canala 2802	canalb 2802
canala 2791	canalb 2791
canala 2780	canalb 2780
canala 2763	canalb 2763
canala 2741	canalb 2741
canala 2715	canalb 2715
canala 2685	canalb 2685
canala 2649	canalb 2649
canala 2611	canalb 2611
canala 2567	canalb 2567
canala 2519	canalb 2519
canala 2468	canalb 2468
canala 2415	canalb 2415
canala 2357	canalb 2357
canala 2295	canalb 2295
canala 2231	canalb 2231
canala 2165	canalb 2165
canala 2097	canalb 2097
canala 2026	canalb 2026
canala 1952	canalb 1952
canala 1878	canalb 1878
canala 1804	canalb 1804
canala 1729	canalb 1729
canala 1653	canalb 1653
canala 1574	canalb 1574
canala 1493	canalb 1493
canala 1411	canalb 1411
canala 1332	canalb 1332
canala 1252	canalb 1252
canala 1176	canalb 1176
canala 1102	canalb 1102
canala 1028	canalb 1028
canala 953	canalb 953
canala 882	canalb 882
canala 811	canalb 811
canala 744	canalb 744
canala 678	canalb 678
canala 614	canalb 614
canala 553	canalb 553
canala 497	canalb 497
canala 443	canalb 443
canala 394	canalb 394
canala 346	canalb 346
canala 307	canalb 307
canala 269	canalb 269
canala 236	canalb 236
canala 205	canalb 205
canala 181	canalb 181
canala 161	canalb 161
canala 145	canalb 145
canala 133	canalb 133
canala 124	canalb 124
canala 117	canalb 117
canala 126	canalb 126
canala 137	canalb 137
canala 149	canalb 149
canala 166	canalb 166
canala 187	canalb 187
canala 213	canalb 213
canala 243	canalb 243
canala 277	canalb 277
canala 314	canalb 314
canala 357	canalb 357
canala 405	canalb 405
canala 456	canalb 456
canala 509	canalb 509
canala 566	canalb 566
canala 627	canalb 627
canala 693	canalb 693
canala 757	canalb 757
canala 824	canalb 824
canala 895	canalb 895
canala 967	canalb 967
canala 1043	canalb 1043
canala 1116	canalb 1116
canala 1192	canalb 1192
canala 1267	canalb 1267
canala 1347	canalb 1347
canala 1427	canalb 1427
canala 1505	canalb 1505
canala 1586	canalb 1586
canala 1665	canalb 1665
canala 1741	canalb 1741
canala 1817	canalb 1817
canala 1890	canalb 1890
canala 1964	canalb 1964
canala 2037	canalb 2037
canala 2107	canalb 2107
canala 2175	canalb 2175
canala 2240	canalb 2240
canala 2303	canalb 2303
canala 2365	canalb 2365
canala 2420	canalb 2420
canala 2475	canalb 2475
canala 2526	canalb 2526
canala 2573	canalb 2573
canala 2615	canalb 2615
canala 2654	canalb 2654
canala 2689	canalb 2689
canala 2719	canalb 2719
canala 2744	canalb 2744
canala 2765	canalb 2765
canala 2781	canalb 2781
canala 2795	canalb 2795
canala 2804	canalb 2804
canala 2812	canalb 2812
canala 2804	canalb 2804
canala 2795	canalb 2795
canala 2781	canalb 2781
canala 2766	canalb 2766
canala 2743	canalb 2743
canala 2717	canalb 2717
canala 2686	canalb 2686
canala 2654	canalb 2654
canala 2615	canalb 2615
canala 2573	canalb 2573
canala 2524	canalb 2524
canala 2475	canalb 2475
canala 2420	canalb 2420
canala 2363	canalb 2363
canala 2301	canalb 2301
canala 2236	canalb 2236
canala 2172	canalb 2172
canala 2104	canalb 2104
canala 2047	canalb 2047
canala 1960	canalb 1960
canala 1886	canalb 1886
canala 1812	canalb 1812
canala 1735	canalb 1735
canala 1660	canalb 1660
canala 1580	canalb 1580
canala 1500	canalb 1500
canala 1420	canalb 1420
canala 1340	canalb 1340
canala 1261	canalb 1261
canala 1185	canalb 1185
canala 1109	canalb 1109
canala 1035	canalb 1035
canala 961	canalb 961
canala 895	canalb 895
canala 818	canalb 818
canala 749	canalb 749
canala 684	canalb 684
canala 621	canalb 621
canala 560	canalb 560
canala 502	canalb 502
canala 450	canalb 450
canala 399	canalb 399
canala 352	canalb 352
canala 310	canalb 310
canala 272	canalb 272
canala 238	canalb 238
canala 207	canalb 207
canala 4086	canalb 4086
canala 146	canalb 146
canala 131	canalb 131
canala 119	canalb 119
canala 124	canalb 124
canala 118	canalb 118
canala 141	canalb 141
canala 151	canalb 151
canala 163	canalb 163
canala 179	canalb 179
canala 214	canalb 214
canala 241	canalb 241
canala 272	canalb 272
canala 306	canalb 306
canala 359	canalb 359
canala 402	canalb 402
canala 449	canalb 449
canala 511	canalb 511
canala 568	canalb 568
canala 623	canalb 623
canala 686	canalb 686
canala 753	canalb 753
canala 819	canalb 819
canala 889	canalb 889
canala 961	canalb 961
canala 1035	canalb 1035
canala 1109	canalb 1109
canala 1183	canalb 1183
canala 1261	canalb 1261
canala 1339	canalb 1339
canala 1418	canalb 1418
canala 1499	canalb 1499
canala 1578	canalb 1578
canala 1657	canalb 1657
canala 1735	canalb 1735
canala 1808	canalb 1808
canala 1884	canalb 1884
canala 1957	canalb 1957
canala 2029	canalb 2029
canala 2101	canalb 2101
canala 2167	canalb 2167
canala 2233	canalb 2233
canala 2298	canalb 2298
canala 2359	canalb 2359
canala 2417	canalb 2417
canala 2472	canalb 2472
canala 2522	canalb 2522
canala 2568	canalb 2568
canala 2623	canalb 2623
canala 2652	canalb 2652
canala 2684	canalb 2684
canala 2710	canalb 2710
canala 2748	canalb 2748
canala 2764	canalb 2764
canala 2778	canalb 2778
canala 2787	canalb 2787
canala 2811	canalb 2811
canala 2804	canalb 2804
canala 2810	canalb 2810
canala 2798	canalb 2798
canala 2768	canalb 2768
canala 2779	canalb 2779
canala 2738	canalb 2738
canala 2724	canalb 2724
canala 2689	canalb 2689
canala 2667	canalb 2667
canala 2609	canalb 2609
canala 2579	canalb 2579
canala 2528	canalb 2528
canala 2489	canalb 2489
canala 2417	canalb 2417
canala 2372	canalb 2372
canala 2308	canalb 2308
canala 2241	canalb 2241
canala 2191	canalb 2191
canala 2105	canalb 2105
canala 2032	canalb 2032
canala 1972	canalb 1972
canala 1899	canalb 1899
canala 1823	canalb 1823
canala 1731	canalb 1731
canala 1669	canalb 1669
canala 1588	canalb 1588
canala 1509	canalb 1509
canala 1427	canalb 1427
canala 1349	canalb 1349
canala 1272	canalb 1272
canala 1196	canalb 1196
canala 1106	canalb 1106
canala 1047	canalb 1047
canala 975	canalb 975
canala 889	canalb 889
canala 821	canalb 821
canala 756	canalb 756
canala 691	canalb 691
canala 631	canalb 631
canala 572	canalb 572
canala 502	canalb 502
canala 451	canalb 451
canala 405	canalb 405
canala 362	canalb 362
canala 309	canalb 309
canala 274	canalb 274
canala 244	canalb 244
canala 217	canalb 217
canala 181	canalb 181
canala 165	canalb 165
canala 151	canalb 151
canala 141	canalb 141
canala 117	canalb 117
canala 125	canalb 125
canala 119	canalb 119
canala 131	canalb 131
canala 146	canalb 146
canala 166	canalb 166
canala 176	canalb 176
canala 220	canalb 220
canala 238	canalb 238
canala 259	canalb 259
